list-dl-m,4,1,1,12,120135,10011
list-dl-s,4,1,1,12,144493,12041
list-idl-m,4,1,1,12,130146,10845
list-idl-s,4,1,1,12,168090,14007
list-i-m,4,2,1,24,149961,6248
list-i-s,4,2,1,24,158011,6583
list-d-m,4,2,1,24,143177,5965
list-d-s,4,2,1,24,154852,6452
list-l-m,4,2,1,24,134582,5607
list-l-s,4,2,1,24,116775,4865
list-id-m,4,2,1,24,156744,6531
list-id-s,4,2,1,24,362035,15084
list-il-m,4,2,1,24,129450,5393
list-il-s,4,2,1,24,146849,6118
list-dl-m,4,2,1,24,142834,5951
list-dl-s,4,2,1,24,137187,5716
list-idl-m,4,2,1,24,173319,7221
list-idl-s,4,2,1,24,133724,5571
list-i-m,4,4,1,48,125215,2608
list-i-s,4,4,1,48,164508,3427
list-d-m,4,4,1,48,132054,2751
list-d-s,4,4,1,48,121275,2526
list-l-m,4,4,1,48,137112,2856
list-l-s,4,4,1,48,138520,2885
list-id-m,4,4,1,48,134158,2794
list-id-s,4,4,1,48,128790,2683
list-il-m,4,4,1,48,208383,4341
list-il-s,4,4,1,48,138060,2876
list-dl-m,4,4,1,48,128127,2669
list-dl-s,4,4,1,48,146622,3054
list-idl-m,4,4,1,48,178201,3712
list-idl-s,4,4,1,48,139845,2913
list-i-m,4,8,1,96,136432,1421
list-i-s,4,8,1,96,142887,1488
list-d-m,4,8,1,96,163197,1699
list-d-s,4,8,1,96,134887,1405
list-l-m,4,8,1,96,232770,2424
list-l-s,4,8,1,96,216995,2260
list-id-m,4,8,1,96,137238,1429
list-id-s,4,8,1,96,181463,1890
list-il-m,4,8,1,96,316938,3301
list-il-s,4,8,1,96,321626,3350
list-dl-m,4,8,1,96,327867,3415
list-dl-s,4,8,1,96,310142,3230
list-idl-m,4,8,1,96,346892,3613
list-idl-s,4,8,1,96,389717,4059
list-i-m,4,16,1,192,173185,902
list-i-s,4,16,1,192,260610,1357
list-d-m,4,16,1,192,155323,808
list-d-s,4,16,1,192,160416,835
list-l-m,4,16,1,192,972360,5064
list-l-s,4,16,1,192,1054655,5492
list-id-m,4,16,1,192,398445,2075
list-id-s,4,16,1,192,408103,2125
list-il-m,4,16,1,192,1141332,5944
list-il-s,4,16,1,192,1055109,5495
list-dl-m,4,16,1,192,744469,3877
list-dl-s,4,16,1,192,868759,4524
list-idl-m,4,16,1,192,1244772,6483
list-idl-s,4,16,1,192,1390624,7242
list-i-m,4,32,1,384,577012,1502
list-i-s,4,32,1,384,603529,1571
list-d-m,4,32,1,384,417443,1087
list-d-s,4,32,1,384,441762,1150
list-l-m,4,32,1,384,2428716,6324
list-l-s,4,32,1,384,2732892,7116
list-id-m,4,32,1,384,791278,2060
list-id-s,4,32,1,384,467595,1217
list-il-m,4,32,1,384,2935637,7644
list-il-s,4,32,1,384,3160219,8229
list-dl-m,4,32,1,384,2659734,6926
list-dl-s,4,32,1,384,2482446,6464
list-idl-m,4,32,1,384,4495693,11707
list-idl-s,4,32,1,384,3213174,8367
list-i-m,8,1,1,24,266621,11109
list-i-s,8,1,1,24,247185,10299
list-d-m,8,1,1,24,286815,11950
list-d-s,8,1,1,24,279938,11664
list-l-m,8,1,1,24,235751,9822
list-l-s,8,1,1,24,233281,9720
list-id-m,8,1,1,24,247835,10326
list-id-s,8,1,1,24,249966,10415
list-il-m,8,1,1,24,262442,10935
list-il-s,8,1,1,24,259557,10814
list-dl-m,8,1,1,24,281087,11711
list-dl-s,8,1,1,24,291044,12126
list-idl-m,8,1,1,24,354860,14785
list-idl-s,8,1,1,24,307025,12792
list-i-m,8,2,1,48,288210,6004
list-i-s,8,2,1,48,310311,6464
list-d-m,8,2,1,48,270857,5642
list-d-s,8,2,1,48,233405,4862
list-l-m,8,2,1,48,300741,6265
list-l-s,8,2,1,48,418847,8725
list-id-m,8,2,1,48,356381,7424
list-id-s,8,2,1,48,321363,6695
list-il-m,8,2,1,48,360535,7511
